,NOME_PRODUTO,PRINCIPIO_ATIVO,CLASSE_TERAPEUTICA,CATEGORIA_REGULATORIA
12460,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12461,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12462,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12463,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12464,Florbetaben (18F),,,RADIOFÁRMACO
12465,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12466,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12467,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12468,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12469,Astro Iv,AZITROMICINA DI-HIDRATADA,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
12470,Cadyr,CLORIDRATO DE PROPAFENONA,ANTIARRITMICOS,SIMILAR
12471,Cirefa,INDAPAMIDA,DIURETICOS SIMPLES,SIMILAR
12472,Coftoss,DROPROPIZINA,ANTITUSSIGENOS SIMPLES,SIMILAR
12473,Duoglau,BIMATOPROSTA +  MALEATO DE TIMOLOL,ANTIGLAUCOMATOSOS,SIMILAR
12474,Dutatanso,DUTASTERIDA +  CLORIDRATO DE TANSULOSINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,SIMILAR
12475,Florbetaben (18F),,,RADIOFÁRMACO
12476,Gulandaripa,ACETATO DE ICATIBANTO,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SIMILAR
12477,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12478,Ketah Lc,CLORIDRATO DE ESCETAMINA,ANESTESICOS GERAIS INJETAVEIS,SIMILAR
12479,Opti,CLORIDRATO DE OLOPATADINA,MEDICAMENTOS COM ACAO NO APARELHO VISUAL,SIMILAR
12480,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12481,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12482,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12483,Ryri,RIVAROXABANA,ANTITROMBOTICO,SIMILAR
12484,Sil-Hp,SILODOSINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,NOVO
12485,V-Tosse,HEDERA HELIX L.,EXPECTORANTES + FITOTERAPICO SIMPLES,FITOTERÁPICO
12486,Acebrofilina,ACEBROFILINA,OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO,GENÉRICO
12487,Amoxicilina + Clavulanato De Potássio,AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,GENÉRICO
12488,Cloridrato De Pazopanibe,CLORIDRATO DE PAZOPANIBE,ANTINEOPLASICO,GENÉRICO
12489,Cloridrato De Pioglitazona,CLORIDRATO DE PIOGLITAZONA,ANTIDIABETICOS,GENÉRICO
12490,Dapagliflozina,DAPAGLIFLOZINA,ANTIDIABETICOS,GENÉRICO
12491,Metotrexato,METOTREXATO,ANTIMETABOLICOS ANTAGONISTAS DO ACIDO FOLICO,GENÉRICO
12492,Florbetaben (18F),,,RADIOFÁRMACO
12493,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12494,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12495,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12496,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12497,Elim,AZITROMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
12498,Florbetaben (18F),,,RADIOFÁRMACO
12499,Glicose,GLICOSE ANIDRA,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,ESPECÍFICO
12500,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12501,Iqirvo,ELAFIBRANOR,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,NOVO
12502,Lysdexa,DIMESILATO DE LISDEXANFETAMINA,PSICOANALÉPTICOS,SIMILAR
12503,Osamy,LACOSAMIDA,ANTICONVULSIVANTES,SIMILAR
12504,Omlyclo,OMALIZUMABE,ANTICORPOS MONOCLONAIS + OMALIZUMABE,BIOLÓGICO
12505,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12506,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12507,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12508,Tamiram,LEVOFLOXACINO HEMI-HIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
12509,Totti Odg,TROMETAMOL CETOROLACO ,ANALGESICOS NAO NARCOTICOS,SIMILAR
12510,Voranigo,HEMICITRATO DE VORASIDENIBE HEMI-HIDRATADO,ANTINEOPLASICO,NOVO
12511,Anastrozol,ANASTROZOL,ANTINEOPLASICO,GENÉRICO
12512,Cloridrato De Tramadol + Paracetamol,PARACETAMOL +  CLORIDRATO DE TRAMADOL,ANALGESICOS NARCOTICOS,GENÉRICO
12513,Hemitartarato De Zolpidem,HEMITARTARATO DE ZOLPIDEM,HIPNOTICOS,GENÉRICO
12514,Florbetaben (18F),,,RADIOFÁRMACO
12515,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12516,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12517,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12518,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12519,Florbetaben (18F),,,RADIOFÁRMACO
12520,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12521,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12522,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12523,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12524,Florbetaben (18F),,,RADIOFÁRMACO
12525,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12526,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12527,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12528,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12529,Advil Kids,IBUPROFENO,ANALGESICOS NAO NARCOTICOS,SIMILAR
12530,Bacvax,SULFAMETOXAZOL +  TRIMETOPRIMA,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,SIMILAR
12531,Dorzivis,CLORIDRATO DE DORZOLAMIDA +  MALEATO DE TIMOLOL,ANTIGLAUCOMATOSOS,SIMILAR
12532,Elfi,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,SIMILAR
12533,Fenaflan D,DICLOFENACO DE POTÁSSIO,ANTINFLAMATORIOS,SIMILAR
12534,Florbetaben (18F),,,RADIOFÁRMACO
12535,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12536,Hetlaco,LACOSAMIDA,ANTICONVULSIVANTES,SIMILAR
12537,Lassya,LENALIDOMIDA,AGENTE IMUNOSUPRESSOR,SIMILAR
12538,Lyripati,PREGABALINA,ANTICONVULSIVANTES,SIMILAR
12539,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12540,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12541,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12542,Sotto,ETORICOXIBE,ANTINFLAMATORIOS ANTIREUMATICOS,SIMILAR
12543,Tocynae,CARBETOCINA,"PREPARAÇÕES HORMONAIS PARA USO SISTÊMICO, EXCLUINDO HORMÔNIOS SEXUAIS E INSULINAS",SIMILAR
12544,Tymoria,LATANOPROSTA +  MALEATO DE TIMOLOL,ANTIGLAUCOMATOSOS,SIMILAR
12545,Vetypa,LEVETIRACETAM,ANTICONVULSIVANTES,SIMILAR
12546,Xantinon Caps Gel,RACEMETIONINA +  HEMITARTARATO DE COLINA,COLAGOGOS E COLERETICOS,ESPECÍFICO
12547,Cloridrato De Oxomemazina + Iodeto De Potássio + Benzoato De Sódio + ,CLORIDRATO DE OXOMEMAZINA +  IODETO DE POTÁSSIO +  BENZOATO DE SÓDIO +  GUAIFENESINA,EXPECTORANTES BALSAMICOS E MUCOLITICO,GENÉRICO
12548,Dapagliflozina,DAPAGLIFLOZINA,ANTIDIABETICOS,GENÉRICO
12549,Dicloridrato De Levocetirizina,DICLORIDRATO DE LEVOCETIRIZINA,ANTIALERGICOS,GENÉRICO
12550,Paracetamol + Maleato De Clorfeniramina + Cloridrato De Fenilefrina,PARACETAMOL +  MALEATO DE CLORFENIRAMINA +  CLORIDRATO DE FENILEFRINA,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,GENÉRICO
12551,Rivaroxabana,RIVAROXABANA,ANTITROMBOTICO,GENÉRICO
12552,Água Para Injetáveis,ÁGUA PARA INJETÁVEIS,DILUENTES E VEICULOS DE MEDICAMENTOS,ESPECÍFICO
12553,Florbetaben (18F),,,RADIOFÁRMACO
12554,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12555,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12556,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12557,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12558,Aura,AXETILCEFUROXIMA,CEFALOSPORINAS,SIMILAR
12559,Florbetaben (18F),,,RADIOFÁRMACO
12560,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12561,Ginkgo Biloba Mcg,GINKGO BILOBA L.,VASODILATADORES,FITOTERÁPICO
12562,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12563,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12564,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12565,Vésper Sl,HEMITARTARATO DE ZOLPIDEM,"HIPNÓTICOS E SEDATIVOS EM ASSOCIAÇÃO, EXCLUINDO BARBITÚRICOS",SIMILAR
12566,Etoricoxibe,ETORICOXIBE,ANTINFLAMATORIOS ANTIREUMATICOS,GENÉRICO
12567,Mesilato De Eribulina,MESILATO DE ERIBULINA,OUTROS ANTINEOPLASICOS,GENÉRICO
12568,Minoxidil,MINOXIDIL,ANTIALOPECIA,GENÉRICO
12569,Sulfametoxazol + Trimetoprima,SULFAMETOXAZOL +  TRIMETOPRIMA,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,GENÉRICO
12570,18F - Psma - 1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12571,18F-Psma1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12572,Ar Sintético Medicinal,NITROGÊNIO +  OXIGÊNIO,,GASES MEDICI
12573,Florbetaben (18F),,,RADIOFÁRMACO
12574,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12575,No_Produto,AMESPRO FLUORNICOTINAMIDA (18 F),,
12576,Oxigênio,OXIGÊNIO,,GASES MEDICI
12577,Octreotato Tetraxetana (68 Ga),OCTREOTATO TETRAXETANA (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12578,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12579,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12580,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12581,Psma 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12582,Psma 1007 (F18),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12583,Psma-1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS NAO RADIOATIVOS,RADIOFÁRMACO
12584,Psma-1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12585,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12586,Radiofes,FLUORESTRADIOL (18 F),,RADIOFÁRMACO
12587,Flouroestradiol (18F),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12588,18F - Psma - 1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12589,18F-Psma1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12590,Ar Sintético Medicinal,NITROGÊNIO +  OXIGÊNIO,,GASES MEDICI
12591,Florbetaben (18F),,,RADIOFÁRMACO
12592,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12593,No_Produto,AMESPRO FLUORNICOTINAMIDA (18 F),,
12594,Oxigênio,OXIGÊNIO,,GASES MEDICI
12595,Octreotato Tetraxetana (68 Ga),OCTREOTATO TETRAXETANA (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12596,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12597,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12598,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12599,Psma 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12600,Psma 1007 (F18),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12601,Psma-1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS NAO RADIOATIVOS,RADIOFÁRMACO
12602,Psma-1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12603,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12604,Radiofes,FLUORESTRADIOL (18 F),,RADIOFÁRMACO
12605,Flouroestradiol (18F),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12606,18F - Psma - 1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12607,18F-Psma1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12608,Ar Sintético Medicinal,NITROGÊNIO +  OXIGÊNIO,,GASES MEDICI
12609,Florbetaben (18F),,,RADIOFÁRMACO
12610,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12611,No_Produto,AMESPRO FLUORNICOTINAMIDA (18 F),,
12612,Oxigênio,OXIGÊNIO,,GASES MEDICI
12613,Octreotato Tetraxetana (68 Ga),OCTREOTATO TETRAXETANA (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12614,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12615,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12616,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12617,Psma 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12618,Psma 1007 (F18),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12619,Psma-1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS NAO RADIOATIVOS,RADIOFÁRMACO
12620,Psma-1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12621,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12622,Radiofes,FLUORESTRADIOL (18 F),,RADIOFÁRMACO
12623,Flouroestradiol (18F),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12624,18F - Psma - 1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12625,18F-Psma1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12626,Ar Sintético Medicinal,NITROGÊNIO +  OXIGÊNIO,,GASES MEDICI
12627,Atip,HEMIFUMARATO DE QUETIAPINA,ANTIPSICOTICOS,SIMILAR
12628,Atroveran Dip,DIPIRONA,ANALGESICOS NAO NARCOTICOS,SIMILAR
12629,Axemy,AMOXICILINA TRIHIDRATADA +  CLAVULANATO DE POTÁSSIO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
12630,Bisintex,TRASTUZUMABE,ANTINEOPLASICO,BIOLÓGICO
12631,Colírio Moura Brasil Aliv,CLORIDRATO DE NAFAZOLINA +  MALEATO DE FENIRAMINA,DESCONGESTIONATES OFTALMICOS,SIMILAR
12632,Elahere,MIRVETUXIMABE SORAVTANSINA,OUTROS ANTINEOPLASICOS,BIOLÓGICO
12633,Evagel,ESTRADIOL HEMI-HIDRATADO,ESTROGENOS SIMPLES,SIMILAR
12634,Evorel,PARACETAMOL +  FOSFATO DE CODEÍNA,ANALGESICOS NARCOTICOS,SIMILAR
12635,Florbetaben (18F),,,RADIOFÁRMACO
12636,Glicose,GLICOSE ANIDRA,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,ESPECÍFICO
12637,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12638,Ibruve,IBUPROFENO,ANALGESICOS NAO NARCOTICOS,SIMILAR
12639,Imaavy,NIPOCALIMABE,IMUNOGLOBULINAS,
12640,Lakesiamedical,CICLOPIROX +  CICLOPIROX OLAMINA,ANTIMICOTICOS PARA USO TOPICO,SIMILAR
12641,No_Produto,AMESPRO FLUORNICOTINAMIDA (18 F),,
12642,Optinóvis,RANIBIZUMABE,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,BIOLÓGICO
12643,Oxigênio,OXIGÊNIO,,GASES MEDICI
12644,Octreotato Tetraxetana (68 Ga),OCTREOTATO TETRAXETANA (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12645,Pavblu,AFLIBERCEPTE,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,BIOLÓGICO
12646,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12647,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12648,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12649,Psma 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12650,Psma 1007 (F18),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12651,Psma-1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS NAO RADIOATIVOS,RADIOFÁRMACO
12652,Psma-1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12653,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12654,Radiofes,FLUORESTRADIOL (18 F),,RADIOFÁRMACO
12655,Torvexa,DICLORIDRATO DE LEVOCETIRIZINA,ANTIALERGICOS,SIMILAR
12656,Vitamina B12,CLORIDRATO DE HIDROXOCOBALAMINA,MONOVITAMINAS EXCETO VITAMINA K,ESPECÍFICO
12657,Vitaminas B1 + B6 + B12,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  NITRATO DE TIAMINA,PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS,ESPECÍFICO
12658,Zirk,AZITROMICINA DI-HIDRATADA,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
12659,Zynlonta,LONCASTUXIMABE TESIRINA,AGENTES ANTINEOPLÁSICOS,BIOLÓGICO
12660,Azitromicina,AZITROMICINA DI-HIDRATADA,ANTIBIOTICOS SISTEMICOS SIMPLES,GENÉRICO
12661,Cloreto De Sódio,CLORETO DE SÓDIO,SOLUCOES ISOSMOTICAS SALINAS SIMPLES,ESPECÍFICO
12662,Cloreto De Sódio,CLORETO DE SÓDIO,SOLUCOES ISOSMOTICAS SALINAS SIMPLES,ESPECÍFICO
12663,Cloreto De Sódio   + Glicose,GLICOSE ANIDRA +  CLORETO DE SÓDIO,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,ESPECÍFICO
12664,Cloreto De Sódio  + Glicose,GLICOSE ANIDRA +  CLORETO DE SÓDIO,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,ESPECÍFICO
12665,Cloridrato De Pazopanibe,CLORIDRATO DE PAZOPANIBE,ANTINEOPLASICO,GENÉRICO
12666,Flouroestradiol (18F),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12667,Maleato De Dexclorfeniramina + Betametasona,MALEATO DE DEXCLORFENIRAMINA +  BETAMETASONA,ANTI-HISTAMINICOS SISTEMICOS,GENÉRICO
12668,Manitol,MANITOL,DIURETICOS SIMPLES,ESPECÍFICO
12669,Trometamol Cetorolaco,TROMETAMOL CETOROLACO ,ANTINFLAMATORIOS,GENÉRICO
12670,18F - Psma - 1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12671,18F-Psma1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12672,Ar Sintético Medicinal,NITROGÊNIO +  OXIGÊNIO,,GASES MEDICI
12673,Florbetaben (18F),,,RADIOFÁRMACO
12674,Gallium-68,OCTREOTIDA NOTA ALUMÍNIO (18 F),,RADIOFÁRMACO
12675,No_Produto,AMESPRO FLUORNICOTINAMIDA (18 F),,
12676,Oxigênio,OXIGÊNIO,,GASES MEDICI
12677,Octreotato Tetraxetana (68 Ga),OCTREOTATO TETRAXETANA (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12678,Pib (11C),PIBENZOTIAZOL (11 C),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12679,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12680,Psma - 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12681,Psma 1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12682,Psma 1007 (F18),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12683,Psma-1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS NAO RADIOATIVOS,RADIOFÁRMACO
12684,Psma-1007 (18F),AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12685,Psma11 (68Ga),GÁLIO (68 GA),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12686,Radiofes,FLUORESTRADIOL (18 F),,RADIOFÁRMACO
12687,Flouroestradiol (18F),,AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12688,18F - Psma - 1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12689,18F-Psma1007,AMESPRO FLUORNICOTINAMIDA (18 F),AGENTES DIAGNOSTICOS RADIOATIVOS,RADIOFÁRMACO
12690,Ar Sintético Medicinal,NITROGÊNIO +  OXIGÊNIO,,GASES MEDICI
